file,fps,frame_index,method,blind_sigma_dn,roi_mean_dn,roi_highpass_noise_sigma_dn,mae_to_temporal_reference_dn,gradient_mae_to_temporal_reference
Video_exposure_220ms_w1920_h1200_pMono10_f5.raw,5,10,ptc_vst_bm3d,3.193272,479.086884,0.115510,1.556428,7.568004
Video_exposure_300ms_w1920_h1200_pMono10_f3.raw,3,10,input,4.035836,524.592407,4.063430,3.061254,10.396476
Video_exposure_300ms_w1920_h1200_pMono10_f3.raw,3,10,temporal_trimmed_mean,4.035836,524.590576,2.075467,0.000000,0.000000
Video_exposure_300ms_w1920_h1200_pMono10_f3.raw,3,10,blind_bm3d,4.035836,524.596985,0.551805,1.527704,6.474574
Video_exposure_300ms_w1920_h1200_pMono10_f3.raw,3,10,ptc_vst_bm3d,4.035836,524.594727,0.126617,1.677553,8.143809
Video_exposure_30ms_w1920_h1200_pMono10_f20.raw,20,10,input,1.053205,122.447861,1.416907,1.177142,4.421420
Video_exposure_30ms_w1920_h1200_pMono10_f20.raw,20,10,temporal_trimmed_mean,1.053205,122.446388,0.453669,0.000000,0.000000
Video_exposure_30ms_w1920_h1200_pMono10_f20.raw,20,10,blind_bm3d,1.053205,122.448448,0.433965,0.490026,1.387198
Video_exposure_30ms_w1920_h1200_pMono10_f20.raw,20,10,ptc_vst_bm3d,1.053205,122.444908,0.010802,0.390171,1.850476
Video_exposure_400ms_w1920_h1200_pMono10_f2.raw,2,10,input,4.227601,708.372681,4.859059,3.524697,11.785495
Video_exposure_400ms_w1920_h1200_pMono10_f2.raw,2,10,temporal_trimmed_mean,4.227601,708.370850,2.697401,0.000000,0.000000
Video_exposure_400ms_w1920_h1200_pMono10_f2.raw,2,10,blind_bm3d,4.227601,708.376892,1.231562,1.850451,7.368984
Video_exposure_400ms_w1920_h1200_pMono10_f2.raw,2,10,ptc_vst_bm3d,4.227601,708.377502,0.227581,2.117521,10.349850
Video_exposure_40ms_w1920_h1200_pMono10_f20.raw,20,10,input,2.080832,141.182373,1.613133,1.332868,4.945064
Video_exposure_40ms_w1920_h1200_pMono10_f20.raw,20,10,temporal_trimmed_mean,2.080832,141.180771,0.539249,0.000000,0.000000
Video_exposure_40ms_w1920_h1200_pMono10_f20.raw,20,10,blind_bm3d,2.080832,141.186462,0.024817,0.458171,2.107946
Video_exposure_40ms_w1920_h1200_pMono10_f20.raw,20,10,ptc_vst_bm3d,2.080832,141.180374,0.013754,0.461935,2.199448
Video_exposure_50ms_w1920_h1200_pMono10_f20.raw,20,10,input,2.090302,158.684998,1.773390,1.463646,5.381911
Video_exposure_50ms_w1920_h1200_pMono10_f20.raw,20,10,temporal_trimmed_mean,2.090302,158.683212,0.609797,0.000000,0.000000
