file,fps,frame_index,method,roi_mean_dn,roi_highpass_noise_sigma_dn,mae_to_temporal_mean_dn
Video_exposure_70ms_w1920_h1200_pMono10_f14.raw,14,10,vst_bm3d,206.81781,0.02647,0.67808
Video_exposure_70ms_w1920_h1200_pMono10_f14.raw,14,10,vst_nlm,206.83328,0.00002,1.04816
Video_exposure_80ms_w1920_h1200_pMono10_f12.raw,12,10,input,254.14278,2.52599,1.88853
Video_exposure_80ms_w1920_h1200_pMono10_f12.raw,12,10,temporal_trimmed_mean,254.14139,0.99223,0.00000
Video_exposure_80ms_w1920_h1200_pMono10_f12.raw,12,10,vst_bm3d,254.13857,0.03656,0.83474
Video_exposure_80ms_w1920_h1200_pMono10_f12.raw,12,10,vst_nlm,254.11098,0.00002,1.21822
Video_exposure_90ms_w1920_h1200_pMono10_f11.raw,11,10,input,303.10309,2.84874,2.10603
Video_exposure_90ms_w1920_h1200_pMono10_f11.raw,11,10,temporal_trimmed_mean,303.10159,1.18605,0.00000
Video_exposure_90ms_w1920_h1200_pMono10_f11.raw,11,10,vst_bm3d,303.09991,0.04905,0.98853
Video_exposure_90ms_w1920_h1200_pMono10_f11.raw,11,10,vst_nlm,303.14194,0.00005,1.38794
Video_20260712095138103_w1920_h1200_pMono10_f3.raw,3,10,input,406.74527,5.80533,4.44237
Video_20260712095138103_w1920_h1200_pMono10_f3.raw,3,10,temporal_trimmed_mean,406.73859,1.88983,0.00000
Video_20260712095138103_w1920_h1200_pMono10_f3.raw,3,10,vst_bm3d,406.72452,0.20537,1.60069
Video_20260712095138103_w1920_h1200_pMono10_f3.raw,3,10,vst_nlm,406.73712,0.45337,1.99163
Video_20260712095254594_w1920_h1200_pMono10_f10.raw,10,10,input,197.18245,3.59684,2.83217
Video_20260712095254594_w1920_h1200_pMono10_f10.raw,10,10,temporal_trimmed_mean,197.17613,1.07443,0.00000
Video_20260712095254594_w1920_h1200_pMono10_f10.raw,10,10,vst_bm3d,197.16037,0.07060,0.91687
Video_20260712095254594_w1920_h1200_pMono10_f10.raw,10,10,vst_nlm,197.10564,0.02948,1.25218
Video_20260712095543069_w1920_h1200_pMono10_f0.25.raw,0.25,10,input,164.57845,3.08272,4.82955
Video_20260712095543069_w1920_h1200_pMono10_f0.25.raw,0.25,10,temporal_trimmed_mean,164.54922,1.49303,0.00000
Video_20260712095543069_w1920_h1200_pMono10_f0.25.raw,0.25,10,vst_bm3d,164.54005,0.09905,4.12258
Video_20260712095543069_w1920_h1200_pMono10_f0.25.raw,0.25,10,vst_nlm,164.55873,0.18801,4.19074
Video_20260712094756507_w1920_h1200_pMono10_f3.raw,3,10,input,538.17432,7.46529,5.34531
Video_20260712094756507_w1920_h1200_pMono10_f3.raw,3,10,temporal_trimmed_mean,538.16968,2.80866,0.00000
Video_20260712094756507_w1920_h1200_pMono10_f3.raw,3,10,vst_bm3d,538.15723,0.36704,2.14720
Video_20260712094756507_w1920_h1200_pMono10_f3.raw,3,10,vst_nlm,538.12073,0.75504,2.63996
Video_20260712094907104_w1920_h1200_pMono10_f10.raw,10,10,input,207.31825,3.94812,3.05802
Video_20260712094907104_w1920_h1200_pMono10_f10.raw,10,10,temporal_trimmed_mean,207.31293,1.29532,0.00000
Video_20260712094907104_w1920_h1200_pMono10_f10.raw,10,10,vst_bm3d,207.30669,0.09777,1.05122
Video_20260712094907104_w1920_h1200_pMono10_f10.raw,10,10,vst_nlm,207.27769,0.07801,1.39172
Video_20260712100510569_w1920_h1200_pMono10_f10.raw,10,10,input,319.47128,5.29198,4.17628
Video_20260712100510569_w1920_h1200_pMono10_f10.raw,10,10,temporal_trimmed_mean,319.46542,1.76391,0.00000
Video_20260712100510569_w1920_h1200_pMono10_f10.raw,10,10,vst_bm3d,319.45218,0.20224,1.78701
Video_20260712100510569_w1920_h1200_pMono10_f10.raw,10,10,vst_nlm,319.32706,0.25875,2.22585
